id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Golden Cipher,Block Theory,hip-hop,confident,0.78,95,0.72,0.85,0.12
12,Velvet Sunrise,Sable Keys,r&b,romantic,0.55,88,0.80,0.70,0.45
13,Requiem for the Digital Age,Nova Strings,classical,melancholic,0.22,52,0.30,0.18,0.97
14,Iron Curtain Drop,Fault Line,metal,angry,0.97,180,0.25,0.55,0.03
15,Island Drift,Coastal Roots,reggae,relaxed,0.48,76,0.78,0.72,0.65
16,Pulse Protocol,Binary Sun,electronic,focused,0.84,140,0.55,0.90,0.06
17,Dusty Road Home,Creek Hollow,country,nostalgic,0.44,98,0.68,0.58,0.82
18,Delta Smoke,Hound River,blues,sad,0.33,68,0.32,0.44,0.91
19,K-Town Bounce,Hyper Clique,k-pop,happy,0.88,128,0.90,0.93,0.08
20,Frozen Cathedral,Pale Atlas,post-rock,melancholic,0.60,104,0.27,0.38,0.54
